ClusterAlgorithm;DistanceFunction;Synonyms;GermaNetFunction;Word2VecAdd;Word2VecAverage;k;CohesionAvg;CohesionStd;SeperationAvg;SeperationStd;SilhouetteAvg;SilhouetteStd;RuntimeAvg(ms)
ClusterART;Not needed;false;true;false;false;5;68.86930000000001;0.0;37.573;0.0;0.0879;0.0;1572.95
Neural Gas;EuclideanDistance;true;false;true;false;23;83.6513;0.0;101.04400000000001;0.0;0.0342;0.0;24.97
ClusterART;Not needed;false;true;false;false;6;68.86930000000001;0.0;37.573;0.0;0.0879;0.0;1649.95
Neural Gas;EuclideanDistance;true;false;true;false;24;88.7551;0.0;105.25030000000001;0.0;0.0267;0.0;25.19
ClusterART;Not needed;false;true;false;false;7;68.86930000000001;0.0;37.573;0.0;0.0879;0.0;1591.48
Neural Gas;EuclideanDistance;true;false;true;false;25;88.399;0.0;105.6558;0.0;0.0392;0.0;28.13
ClusterART;Not needed;false;true;false;false;8;68.86930000000001;0.0;37.573;0.0;0.0879;0.0;1636.66
Neural Gas;EuclideanDistance;true;false;true;false;26;84.8711;0.0;107.4612;0.0;0.0438;0.0;37.57
ClusterART;Not needed;false;true;false;false;9;68.86930000000001;0.0;37.573;0.0;0.0879;0.0;1732.01
Neural Gas;EuclideanDistance;true;false;true;false;27;80.4884;0.0;106.54440000000001;0.0;0.0361;0.0;27.66
ClusterART;Not needed;true;false;false;false;10;2.9765;0.0;3.3164000000000002;0.0;0.1048;0.0;2407.39
Neural Gas;EuclideanDistance;true;false;true;false;28;88.2585;0.0;114.00110000000001;0.0;0.0228;0.0;29.21
ClusterART;Not needed;true;false;false;false;11;2.9944;0.0;3.4004000000000003;0.0;0.1004;0.0;2477.95
Neural Gas;EuclideanDistance;true;false;true;false;29;79.5453;0.0;109.411;0.0;0.0205;0.0;30.06
ClusterART;Not needed;true;false;false;false;12;2.8652;0.0;3.4138;0.0;0.13290000000000002;0.0;2921.71
Neural Gas;EuclideanDistance;true;false;true;false;3;113.45530000000001;0.0;87.6328;0.0;0.009300000000000001;0.0;3.23
ClusterART;Not needed;true;false;false;false;13;2.7072000000000003;0.0;3.4775;0.0;0.1814;0.0;3097.75
Neural Gas;EuclideanDistance;true;false;true;false;30;84.3422;0.0;106.77900000000001;0.0;0.0407;0.0;30.65
ClusterART;Not needed;true;false;false;false;14;2.6716;0.0;3.4726000000000004;0.0;0.1885;0.0;3940.53
Neural Gas;EuclideanDistance;true;false;true;false;4;104.6268;0.0;90.3707;0.0;0.0182;0.0;4.37
ClusterART;Not needed;true;false;false;false;15;2.6198;0.0;3.4753000000000003;0.0;0.2046;0.0;3966.75
Neural Gas;EuclideanDistance;true;false;true;false;5;100.23360000000001;0.0;92.137;0.0;0.0091;0.0;5.44
ClusterART;Not needed;true;false;false;false;16;2.6354;0.0;3.5208000000000004;0.0;0.20770000000000002;0.0;5277.01
Neural Gas;EuclideanDistance;true;false;true;false;6;94.9985;0.0;90.8434;0.0;0.0145;0.0;6.3
ClusterART;Not needed;true;false;false;false;17;2.6235;0.0;3.5338000000000003;0.0;0.2096;0.0;5996.69
Neural Gas;EuclideanDistance;true;false;true;false;7;94.56320000000001;0.0;92.1755;0.0;0.0159;0.0;7.45
ClusterART;Not needed;true;false;false;false;18;2.4779;0.0;3.5464;0.0;0.198;0.0;6030.33
Neural Gas;EuclideanDistance;true;false;true;false;8;92.3559;0.0;92.7852;0.0;0.0198;0.0;8.86
ClusterART;Not needed;true;false;false;false;19;2.5721000000000003;0.0;3.6199000000000003;0.0;0.1791;0.0;6867.85
Neural Gas;EuclideanDistance;true;false;true;false;9;91.0056;0.0;92.79560000000001;0.0;0.0327;0.0;9.48
ClusterART;Not needed;true;false;false;false;2;3.4736000000000002;0.0;2.0155000000000003;0.0;0.14200000000000002;0.0;376.83
ClusterART;Not needed;true;false;false;false;20;2.5573;0.0;3.6305;0.0;0.1796;0.0;7894.84
Neural Gas;EuclideanDistance;true;true;false;false;10;13.0484;0.0;18.140700000000002;0.0;0.0786;0.0;97.19
ClusterART;Not needed;true;false;false;false;21;2.5651;0.0;3.6768;0.0;0.1829;0.0;8039.11
Neural Gas;EuclideanDistance;true;true;false;false;11;11.9654;0.0;19.4841;0.0;0.1545;0.0;164.83
ClusterART;Not needed;true;false;false;false;22;2.5747;0.0;3.6992000000000003;0.0;0.18430000000000002;0.0;7967.85
