ClusterAlgorithm;DistanceFunction;Synonyms;GermaNetFunction;Word2VecAdd;Word2VecAverage;k;CohesionAvg;CohesionStd;SeperationAvg;SeperationStd;SilhouetteAvg;SilhouetteStd;RuntimeAvg(ms)
ClusterART;Not needed;true;false;false;false;10;2.9038;0.0;4.0805;0.0;0.1739;0.0;1440.49
Neural Gas;EuclideanDistance;true;false;true;false;28;36.410900000000005;0.0;55.2639;0.0;0.08420000000000001;0.0;15.9
ClusterART;Not needed;true;false;false;false;11;2.7359;0.0;4.0652;0.0;0.2043;0.0;1676.44
Neural Gas;EuclideanDistance;true;false;true;false;29;34.6685;0.152;43.1896;0.8779;0.0641;1.0E-4;17.01
ClusterART;Not needed;true;false;false;false;12;2.4738;0.0;4.146100000000001;0.0;0.2791;0.0;1851.28
Neural Gas;EuclideanDistance;true;false;true;false;3;69.5404;0.0;53.1543;0.0;0.013800000000000002;0.0;1.91
ClusterART;Not needed;true;false;false;false;13;2.5311;0.0;4.1289;0.0;0.263;0.0;2046.65
Neural Gas;EuclideanDistance;true;false;true;false;30;31.116600000000002;0.0;37.15;0.0;0.0417;0.0;18.61
ClusterART;Not needed;true;false;false;false;14;2.6281000000000003;0.0;4.0945;0.0;0.2403;0.0;3975.33
Neural Gas;EuclideanDistance;true;false;true;false;4;64.4208;0.0;55.8067;0.0;0.042300000000000004;0.0;2.07
ClusterART;Not needed;true;false;false;false;15;2.5707;0.0;4.1121;0.0;0.2589;0.0;4498.18
Neural Gas;EuclideanDistance;true;false;true;false;5;63.5032;0.0;58.175900000000006;0.0;0.0325;0.0;3.27
ClusterART;Not needed;true;false;false;false;16;2.5275000000000003;0.0;4.1049;0.0;0.2677;0.0;3028.63
Neural Gas;EuclideanDistance;true;false;true;false;6;61.1984;0.0;58.900600000000004;0.0;0.035;0.0;4.12
ClusterART;Not needed;true;false;false;false;17;2.4233000000000002;0.0;4.1645;0.0;0.2436;0.0;5426.6
Neural Gas;EuclideanDistance;true;false;true;false;7;62.685700000000004;0.0;61.911500000000004;0.0;0.0369;0.0;3.7
ClusterART;Not needed;true;false;false;false;18;2.4542;0.0;4.1479;0.0;0.2343;0.0;3489.79
Neural Gas;EuclideanDistance;true;false;true;false;8;62.8671;0.0;64.19930000000001;0.0;0.0352;0.0;8.27
ClusterART;Not needed;true;false;false;false;19;2.5116;0.0;4.1352;0.0;0.2189;0.0;3596.23
Neural Gas;EuclideanDistance;true;false;true;false;9;61.920300000000005;0.0;63.938;0.0;0.021400000000000002;0.0;4.63
ClusterART;Not needed;true;false;false;false;2;3.9678;0.0;2.0917;0.0;0.051500000000000004;0.0;175.19
Neural Gas;EuclideanDistance;true;true;false;false;10;10.849;0.0;18.9093;0.0;0.253;0.0;43.4
ClusterART;Not needed;true;false;false;false;20;2.3859;0.0;4.1315;0.0;0.2063;0.0;6357.67
Neural Gas;EuclideanDistance;true;true;false;false;11;11.501000000000001;0.0;18.9768;0.0;0.1728;0.0;47.88
ClusterART;Not needed;true;false;false;false;21;2.3436;0.0;4.1193;0.0;0.22210000000000002;0.0;3728.45
Neural Gas;EuclideanDistance;true;true;false;false;12;9.834200000000001;0.0;17.1129;0.0;0.1836;0.0;55.3
ClusterART;Not needed;true;false;false;false;22;2.4334000000000002;0.0;4.1717;0.0;0.2084;0.0;3701.05
Neural Gas;EuclideanDistance;true;true;false;false;13;8.2834;0.0;22.4011;0.0;0.1797;0.0;82.99
ClusterART;Not needed;true;false;false;false;23;2.4108;0.0;4.1721;0.0;0.2202;0.0;4840.17
Neural Gas;EuclideanDistance;true;true;false;false;14;9.3072;0.0;17.5962;0.0;0.2383;0.0;67.73
ClusterART;Not needed;true;false;false;false;24;2.3102;0.0;4.1866;0.0;0.21100000000000002;0.0;8299.6
Neural Gas;EuclideanDistance;true;true;false;false;15;9.0494;0.0;15.1865;0.0;0.2275;0.0;87.41
ClusterART;Not needed;true;false;false;false;25;2.2999;0.0;4.1944;0.0;0.221;0.0;9328.4
Neural Gas;EuclideanDistance;true;true;false;false;16;7.893800000000001;0.0;13.741200000000001;0.0;0.22060000000000002;0.0;75.94
ClusterART;Not needed;true;false;false;false;26;2.289;0.0;4.1568000000000005;0.0;0.216;0.0;9789.26
Neural Gas;EuclideanDistance;true;true;false;false;17;7.7193000000000005;0.0;16.2804;0.0;0.23040000000000002;0.0;77.34
ClusterART;Not needed;true;false;false;false;27;2.2194000000000003;0.0;4.2045;0.0;0.2066;0.0;6246.81
Neural Gas;EuclideanDistance;true;true;false;false;18;7.7811;0.0;12.884500000000001;0.0;0.19260000000000002;0.0;86.38
ClusterART;Not needed;true;false;false;false;28;2.2364;0.0;4.180000000000001;0.0;0.2046;0.0;6431.59
Neural Gas;EuclideanDistance;true;true;false;false;19;7.538200000000001;0.0;15.007100000000001;0.0;0.20070000000000002;0.0;92.04
ClusterART;Not needed;true;false;false;false;29;2.306;0.0;4.1981;0.0;0.19440000000000002;0.0;11665.27
Neural Gas;EuclideanDistance;true;true;false;false;2;44.873400000000004;0.0;42.3217;0.0;0.44320000000000004;0.0;7.41
ClusterART;Not needed;true;false;false;false;3;3.8213000000000004;0.0;3.0020000000000002;0.0;0.0913;0.0;300.64
Neural Gas;EuclideanDistance;true;true;false;false;20;7.377400000000001;0.0;16.2634;0.0;0.2;0.0;103.15
ClusterART;Not needed;true;false;false;false;30;2.3052;0.0;4.204000000000001;0.0;0.2335;0.0;12383.65
Neural Gas;EuclideanDistance;true;true;false;false;21;7.5387;0.0;17.7153;0.0;0.2083;0.0;98.32
ClusterART;Not needed;true;false;false;false;4;3.4055;0.0;3.3536;0.0;0.17600000000000002;0.0;663.07
Neural Gas;EuclideanDistance;true;true;false;false;22;6.6431000000000004;0.0;9.2203;0.0;0.21200000000000002;0.0;101.5
ClusterART;Not needed;true;false;false;false;5;3.2237;0.0;3.4777;0.0;0.1816;0.0;882.83
Neural Gas;EuclideanDistance;true;true;false;false;23;7.341600000000001;0.0;19.178;0.0;0.21680000000000002;0.0;113.46
ClusterART;Not needed;true;false;false;false;6;3.2891000000000004;0.0;3.7076000000000002;0.0;0.17700000000000002;0.0;664.32
Neural Gas;EuclideanDistance;true;true;false;false;24;7.3578;0.0;14.7276;0.0;0.2187;0.0;110.53
ClusterART;Not needed;true;false;false;false;7;3.0009;0.0;3.6095;0.0;0.1968;0.0;887.19
Neural Gas;EuclideanDistance;true;true;false;false;25;7.014;0.0;11.959200000000001;0.0;0.21350000000000002;0.0;121.0
ClusterART;Not needed;true;false;false;false;8;3.0021;0.0;3.9613;0.0;0.2225;0.0;1126.12
Neural Gas;EuclideanDistance;true;true;false;false;26;6.733700000000001;0.0;13.176400000000001;0.0;0.1802;0.0;116.63
ClusterART;Not needed;true;false;false;false;9;2.7921;0.0;3.9451;0.0;0.1653;0.0;1214.77
Neural Gas;EuclideanDistance;true;true;false;false;27;6.5357;0.0;13.7376;0.0;0.1773;0.0;134.74
ClusterART;Not needed;true;true;false;false;10;54.7518;0.0;36.5813;0.0;0.2155;0.0;1686.16
Neural Gas;EuclideanDistance;true;true;false;false;28;5.9636000000000005;0.0;14.282;0.0;0.2131;0.0;123.96
ClusterART;Not needed;true;true;false;false;11;54.7518;0.0;36.5813;0.0;0.2155;0.0;1682.09
Neural Gas;EuclideanDistance;true;true;false;false;29;5.9627;0.0;13.0364;0.0;0.19290000000000002;0.0;139.24
ClusterART;Not needed;true;true;false;false;12;54.7518;0.0;36.5813;0.0;0.2155;0.0;1528.93
Neural Gas;EuclideanDistance;true;true;false;false;3;29.9156;0.0;18.8096;0.0;0.29550000000000004;0.0;12.75
ClusterART;Not needed;true;true;false;false;13;54.7518;0.0;36.5813;0.0;0.2155;0.0;1188.8
Neural Gas;EuclideanDistance;true;true;false;false;30;5.5143;0.0;12.442;0.0;0.2154;0.0;219.54
ClusterART;Not needed;true;true;false;false;14;54.7518;0.0;36.5813;0.0;0.2155;0.0;1736.71
Neural Gas;EuclideanDistance;true;true;false;false;4;22.436700000000002;0.0;10.580400000000001;0.0;0.22160000000000002;0.0;14.96
